DeliveryID,SupplierID,ExpectedDate,DeliveryDate
D00001,S001,2024-10-08,2024-10-08
D00002,S003,2025-01-28,2025-01-28
D00003,S001,2024-06-16,2024-06-18
D00004,S006,2024-09-22,2024-09-23
D00005,S001,2025-10-27,2025-10-27
D00006,S007,2026-02-20,2026-02-25
D00007,S002,2025-05-07,2025-05-07
D00008,S008,2025-09-13,2025-09-14
D00009,S001,2025-06-20,2025-06-21
D00010,S006,2025-04-19,2025-04-20
D00011,S008,2025-05-12,2025-05-13
D00012,S003,2026-05-13,2026-05-13
D00013,S003,2026-04-23,2026-04-28
D00014,S002,2026-02-11,2026-02-12
D00015,S001,2026-03-17,2026-03-17
D00016,S002,2025-11-21,2025-11-24
D00017,S001,2025-03-09,2025-03-12
D00018,S004,2025-02-07,2025-02-09
D00019,S010,2025-01-19,2025-01-20
D00020,S005,2026-02-17,2026-02-17
D00021,S009,2024-10-19,2024-10-24
D00022,S010,2024-08-12,2024-08-15
D00023,S007,2024-06-25,2024-06-30
D00024,S002,2026-02-01,2026-02-01
D00025,S010,2025-08-03,2025-08-10
D00026,S009,2025-08-06,2025-08-13
D00027,S003,2025-11-18,2025-11-18
D00028,S007,2025-09-26,2025-09-26
D00029,S001,2026-01-01,2026-01-02
D00030,S006,2024-12-18,2024-12-19
D00031,S001,2026-04-22,2026-04-23
D00032,S005,2026-03-15,2026-03-15
D00033,S005,2024-11-12,2024-11-12
D00034,S010,2024-06-23,2024-06-24
D00035,S007,2025-08-25,2025-08-25
D00036,S003,2024-07-01,2024-07-01
D00037,S007,2026-01-07,2026-01-07
D00038,S003,2024-10-20,2024-10-22
D00039,S010,2026-02-08,2026-02-11
D00040,S009,2024-12-08,2024-12-10
D00041,S001,2025-06-21,2025-06-21
D00042,S001,2025-05-12,2025-05-12
D00043,S010,2025-01-22,2025-01-22
D00044,S007,2024-11-14,2024-11-21
D00045,S003,2026-01-30,2026-01-30
D00046,S009,2025-03-24,2025-03-29
D00047,S008,2025-03-08,2025-03-09
D00048,S004,2025-09-12,2025-09-12
D00049,S007,2026-03-13,2026-03-13
D00050,S003,2025-06-21,2025-06-24
D00051,S007,2024-07-19,2024-07-19
D00052,S003,2025-08-13,2025-08-14
D00053,S007,2025-12-05,2025-12-05
D00054,S003,2025-02-03,2025-02-03
D00055,S006,2025-09-03,2025-09-04
D00056,S001,2026-02-05,2026-02-07
D00057,S010,2025-08-16,2025-08-18
D00058,S007,2024-11-02,2024-11-02
D00059,S006,2025-12-12,2025-12-12
D00060,S005,2024-07-10,2024-07-10
D00061,S005,2024-10-23,2024-10-26
D00062,S006,2025-05-23,2025-05-23
D00063,S008,2025-09-13,2025-09-13
D00064,S002,2025-06-11,2025-06-14
D00065,S007,2026-01-20,2026-01-23
D00066,S003,2026-05-06,2026-05-06
D00067,S008,2025-01-14,2025-01-21
D00068,S003,2024-09-16,2024-09-17
